1.0800, -0.96844362, 0.59890792, 2.28266158
1.0900, -1.11294325, 0.61584388, 2.27153215
1.1000, -1.26070687, 0.63252678, 2.25892508
1.1100, -1.41166303, 0.64894978, 2.24480845
1.1200, -1.56572679, 0.66510612, 2.22915118
1.1300, -1.72279901, 0.68098916, 2.21192319
1.1400, -1.88276575, 0.69659238, 2.19309554
1.1500, -2.04549759, 0.71190936, 2.17264056
1.1600, -2.21084912, 0.72693382, 2.15053207
1.1700, -2.37865835, 0.74165958, 2.12674549
1.1800, -2.54874626, 0.75608058, 2.10125802
1.1900, -2.72091642, 0.77019091, 2.07404886
1.2000, -2.89495462, 0.78398475, 2.04509931
1.2100, -3.07062866, 0.79745646, 2.01439303
1.2200, -3.24768819, 0.81060048, 1.98191614
1.2300, -3.42586472, 0.82341143, 1.94765750
1.2400, -3.60487164, 0.83588402, 1.91160878
1.2500, -3.78440447, 0.84801315, 1.87376474
1.2600, -3.96414122, 0.85979383, 1.83412332
1.2700, -4.14374288, 0.87122121, 1.79268589
1.2800, -4.32285402, 0.88229060, 1.74945735
1.2900, -4.50110368, 0.89299745, 1.70444632
1.3000, -4.67810627, 0.90333736, 1.65766526
1.3100, -4.85346274, 0.91330609, 1.60913063
1.3200, -5.02676189, 0.92289953, 1.55886301
1.3300, -5.19758184, 0.93211375, 1.50688719
1.3400, -5.36549166, 0.94094496, 1.45323227
1.3500, -5.53005321, 0.94938952, 1.39793174
1.3600, -5.69082304, 0.95744398, 1.34102351
1.3700, -5.84735458, 0.96510501, 1.28254997
1.3800, -5.99920029, 0.97236948, 1.22255796
1.3900, -6.14591408, 0.97923440, 1.16109882
1.4000, -6.28705373, 0.98569694, 1.09822828
1.4100, -6.42218345, 0.99175445, 1.03400645
1.4200, -6.55087648, 0.99740445, 0.96849769
1.4300, -6.67271773, 1.00264461, 0.90177051
1.4400, -6.78730641, 1.00747277, 0.83389744
1.4500, -6.89425868, 1.01188695, 0.76495486
1.4600, -6.99321025, 1.01588535, 0.69502275
1.4700, -7.08381888, 1.01946631, 0.62418457
